cod_provin,provincia,cod_canton,canton,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020
6,Puntarenas,602,Esparza,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4,4,5,6,5,5,5,6,3,3,4,3,3,3,3,3,3,1,1,1,3,5,7,7,7
6,Puntarenas,611,Garabito,19,18,17,17,17,17,15,15,10,10,10,10,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,5,3,3,3,3,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,5,5,5,6,6,7,6,6,6,6,6,6,4,4,3,3,3,3,2,2,2,4,4,5,5,5,4,4,4,4,4,4,4
6,Puntarenas,607,Golfito,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,5,6,6,13,33,33,33,33,34,34,34,34,33,33
6,Puntarenas,604,Montes de Oro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
6,Puntarenas,605,Osa,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,6,6
6,Puntarenas,609,Parrita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
6,Puntarenas,601,Puntarenas,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,1,1,2,3,3,7,7,12,15,16,16,17,21,25,28,28,29,34,33,35,35,31,30,31,26,27,27,30,31,30,33,36,42,42,41,42,45,48,51,58,59,59,60,60,57,59,62,63,54
6,Puntarenas,606,Quepos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,2,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,2,3,5,6,6,7,7
7,Limón,706,Guácimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,2,0,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,3,4,4,4,4,4,8,9,10,14,15,15,17,18,18,18,18,18
7,Limón,701,Limón,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,8,11,12,13,14,20,22,23,23,28,23,23,19,18,16,15,11,11,15,13,13,12,11,11,11,13,15,16,15,15,11
7,Limón,705,Matina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,5,5,5,5
7,Limón,702,Pococí,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3,3,3,3,3,3,3,7,8,8,8,20,24,28,30,37,37,47,45,46,46,47,51,51,51,53,56,47,39,37,37,36,36,37,37,38,39,31,31,40,40,43,46,49,50,51,57,57,62,63,65,53,58
7,Limón,703,Siquirres,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,5,5,5,5,5,5,4,4,4,6,7,7,7,7,7,7,7,7
7,Limón,704,Talamanca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,2,2,2,13,13,13,13,15,16,17,16,18,18
9,Otros,999,Otros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,13,13,12,12,13,5,5,5,6,5,5,7,12,13,0,23,35,40,43,56,67,75,105,99,115,107,140,153,138,161,159,167,219
